County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Clay,Iowa,11-06-2023,WOAH Poultry,1700,IA,19041,-95.15096481,43.08247182
Benton,Missouri,11-06-2023,Commercial Broiler Breeder,16600,MO,29015,-93.28827876,38.2951634
Hamilton,Iowa,11-06-2023,Commercial Breeder (Multiple Bird Species),15000,IA,19079,-93.70672502,42.38395377
Wright,Iowa,11-06-2022,Commercial Table Egg Layer,1022800,IA,19197,-93.73515113,42.73305373
Dauphin,Pennsylvania,11-04-2022,WOAH Non-Poultry,130,PA,42043,-76.77925448,40.41555232
Sullivan,New York,11-04-2022,WOAH Non-Poultry,140,NY,36105,-74.7681497,41.71624399
Lehigh,Pennsylvania,11-04-2022,Commercial Turkey Meat Bird,14500,PA,42077,-75.59214444,40.61280627
Lawrence,Mississippi,11-04-2022,Commercial Broiler Breeder,34400,MS,28077,-90.10693379,31.54996744
Clay,Iowa,11-03-2023,WOAH Poultry,7700,IA,19041,-95.15096481,43.08247182
Wright,Minnesota,11-03-2023,Commercial Table Egg Layer,940000,MN,27171,-93.96334763,45.1738141
Clay,Iowa,11-03-2023,WOAH Poultry,8300,IA,19041,-95.15096481,43.08247182
Mcpherson,South Dakota,11-03-2023,Commercial Turkey Breeder Hens,26800,SD,,,
Beaufort,South Carolina,11-03-2022,WOAH Non-Poultry,170,SC,45013,-80.73004378,32.3853684
Bottineau,North Dakota,11-03-2022,WOAH Poultry,130,ND,38009,-100.8333086,48.792102
Middlesex,Massachusetts,11-03-2022,WOAH Non-Poultry,20,MA,25017,-71.39262102,42.48584344
Marathon,Wisconsin,11-03-2022,WOAH Non-Poultry,30,WI,55073,-89.75863384,44.89792533
Yavapai,Arizona,11-03-2022,WOAH Non-Poultry,30,AZ,4025,-112.5538467,34.59969928
Lehigh,Pennsylvania,11-03-2022,Commercial Turkey Meat Bird,28500,PA,42077,-75.59214444,40.61280627
Broward,Florida,11-03-2022,WOAH Non-Poultry,70,FL,12011,-80.48723143,26.15220703
Yamhill,Oregon,11-03-2022,WOAH Poultry,150,OR,41071,-123.3078799,45.23269019
San Diego,California,11-03-2022,WOAH Poultry,150,CA,6073,-116.7353982,33.03386576
